Shop Name,Address,Area/Region,Category,Phone Number,Website,Rating,Number of Reviews,Business Status,Opening Hours,Google Maps Link,Source
FATEHPUR CNC & LASER,"Behind Nagar Palika Gate, Baqar Ganj, Abu Nagar, Fatehpur, UP 212601",Fatehpur (direct),CNC Laser Cutting,,https://www.indiamart.com/fatehpur-cnc-laser/,5.0,5,OPERATIONAL,,https://www.justdial.com/Fatehpur-Uttar-Pradesh/FATEHPUR-CNC-LASER,JustDial + IndiaMART
Laser Cutting and Marking Works,"145, North, Murain Tola, Fatehpur, UP 212601",Fatehpur (direct),CNC Laser Cutting,,http://mdfcutting.in/,3.5,2,OPERATIONAL,,https://maps.google.com/?cid=10921058609517368085,Google Maps
Lucky Enterprises,"Fatehpur, UP",Fatehpur (direct),CNC Laser Cutting + SS Products,,https://www.indiamart.com/lucky-enterprises-fatehpur/,,,OPERATIONAL,,https://www.indiamart.com/lucky-enterprises-fatehpur/cnc-laser-cutting-services.html,IndiaMART
Maa Sharda Traders,"Fatehpur, UP",Fatehpur (direct),Metal Laser Cutting,,,,,OPERATIONAL,,https://www.indiamart.com/proddetail/metal-sheet-laser-cutting-2856790436748.html,IndiaMART
SK Iron Steel & Aluminium Fabrication,"GT Rd, Abu Nagar, Fatehpur, UP 212601",Fatehpur (direct),Steel Fabrication + SS Products,+91 99352 06106,,5.0,14,OPERATIONAL,Mon-Sun: 9AM-8AM (24hr),https://maps.google.com/?cid=17033995857888526810,Google Maps
Shanti Steel,"In front of Mission Hospital, Collector Ganj, Harihar Ganj, Fatehpur, UP 212601",Fatehpur (direct),Steel & Fabrication Products,+91 85629 35301,,4.8,5,OPERATIONAL,Mon-Sun: 8:30 AM - 7:30 PM,https://maps.google.com/?cid=9197091572147796763,Google Maps
Aluminium Door Window Glass Steel Gate,"Banda Sagar Road, Bus Stop, Ghazipur Rd, Ashok Nagar, Fatehpur, UP 212601",Fatehpur (direct),Steel Gate & Aluminium Products,+91 63870 50552,,2.0,1,OPERATIONAL,Mon-Sun (exc Thu): 9AM-8:30PM,https://maps.google.com/?cid=18274770553059448674,Google Maps
Tripathi Iron & Plastic Store,"Pakka Talab Tiraha, Ramganj, Maswani, Fatehpur, UP 212601",Fatehpur (direct),Stainless Steel & Iron Products,+91 82993 99688,,5.0,2,OPERATIONAL,Mon-Sun (exc Thu): 8AM-7PM,https://maps.google.com/?cid=1472217520001372566,Google Maps
Shukla Iron & Machinery Stores,"Plot No 79-72, Ashok Nagar, Harihar Ganj, Fatehpur, UP 212601",Fatehpur (direct),Iron & Steel Products,+91 70000 25700,,3.2,6,OPERATIONAL,Mon-Sun: 9AM-8PM,https://maps.google.com/?cid=17650140586618846530,Google Maps
Bharat Steel Traders,"Fatehpur, UP",Fatehpur (direct),Stainless Steel Dealer,,,,,,,https://www.justdial.com/Fatehpur-Uttar-Pradesh/Stainless-Steel-Dealers/nct-10450881,JustDial
Tripuraree Steel Furniture,"Fatehpur, UP",Fatehpur (direct),Steel Furniture/Products,,,,,,,https://www.justdial.com/Fatehpur-Uttar-Pradesh/Stainless-Steel-Dealers/nct-10450881,JustDial
National Fabrication Welding Workshop,"Ramnagar - Fatehpur Rd, near Baba Marriage Lawn, Deokheria, UP 225305",Fatehpur region,Fabrication & Welding,,,,0,OPERATIONAL,Mon-Sun: 8AM-6PM,https://maps.google.com/?cid=8038955656720627051,Google Maps
Aishani Engineers,"Anapur More, Fatehpur Road, near Aile International School, Lalganj, UP 229206",Fatehpur region,Engineering & Fabrication,+91 92199 93590,https://www.instagram.com/aishaniengineers/,4.8,5,OPERATIONAL,Mon-Sun: 9AM-6PM,https://maps.google.com/?cid=16435337286860916188,Google Maps
ARVIND ALUMINIUM WORKS,"Laxmi Rice Mill, Manu Ka Pura, Khaga, UP 212655",Khaga (direct),Aluminium & Metal Fabrication,+91 84009 63839,,5.0,5,OPERATIONAL,Mon-Sun (exc Thu): 9AM-6PM,https://maps.google.com/?cid=15673507570623385805,Google Maps
Sachin Metal Store,"1 Fatehpur, Khaga, UP 212655",Khaga (direct),Metal & Hardware Store,+91 96703 60321,,5.0,2,OPERATIONAL,,https://maps.google.com/?cid=15449854638433619783,Google Maps
Bala Ji Traders,"Khaga, Fatehpur, UP",Khaga (direct),Stainless Steel Trader,,,,,,,https://www.justdial.com/Fatehpur-Uttar-Pradesh/Stainless-Steel-Traders-in-Khaga/nct-10970439,JustDial
Ram Bartan Bhandar,"Khaga, Fatehpur, UP",Khaga (direct),SS Utensil Dealer,,,,6,,https://www.justdial.com/Fatehpur-Uttar-Pradesh/Stainless-Steel-Utensil-Dealers-in-Khaga/nct-10451657,JustDial
Shri Govind Gopal Bartan Bhandar,"Khaga, Fatehpur, UP",Khaga (direct),SS Utensil Dealer,,,,1,,https://www.justdial.com/Fatehpur-Uttar-Pradesh/Stainless-Steel-Utensil-Dealers-in-Khaga/nct-10451657,JustDial
Ambesh Steel,"Saini Road, Sirathu, Kaushambi, UP 212217",Kaushambi (direct),SS Gate Manufacturer,,,,,,,https://www.justdial.com/Kaushambi/Stainless-Steel-Gate-Manufacturers-in-Sirathu/nct-10451045,JustDial
Himanshu Steel Works,"Sirathu, Kaushambi, UP",Kaushambi (direct),SS Gate Manufacturer,,,,,,,https://www.justdial.com/Kaushambi/Stainless-Steel-Gate-Manufacturers-in-Sirathu/nct-10451045,JustDial
